pay_type,quarter,line_item_count,total_amount,avg_amount,min_amount,max_amount,employee_count,_gold_ingested_at
BENEFIT,Q1,2804,9310936.44,3320.59,0,23424.64,701,2026-05-02 17:39:24
OTHER PAY,Q1,701,2251508.57,3211.85,-42.05,66584.62,701,2026-05-02 17:39:24
OTHER PAY,Q3,701,336008.33,479.33,-6.03,18831.73,701,2026-05-02 17:39:24
OTHER PAY,Q4,701,504012.73,718.99,-9.04,28247.59,701,2026-05-02 17:39:24
OVERTIME PAY,Q2,701,116015.19,165.5,0,8125.64,701,2026-05-02 17:39:24
OVERTIME PAY,Q3,701,45092.91,64.33,0,4167.13,701,2026-05-02 17:39:24
OVERTIME PAY,Q4,701,67639.5,96.49,0,6250.69,701,2026-05-02 17:39:24
REGULAR PAY,Q3,701,11215715.34,15999.59,2546.96,69419.54,701,2026-05-02 17:39:24
REGULAR PAY,Q4,701,11215715.34,15999.59,2546.96,69419.54,701,2026-05-02 17:39:24
