DISTRICT_NAME,seniority_level,eligible_count,avg_years_of_service,avg_total_experience,avg_compensation,admin_count,teacher_count,degree_diversity,_gold_ingested_at
Beverly Hills Unified,Mid-Senior,14,14.9,18.6,85973.57,0,12,3,2026-05-02 17:39:01
Beverly Hills Unified,Senior,27,27.9,31.5,85175.44,4,20,3,2026-05-02 17:39:01
Compton Unified,Mid-Senior,43,14.9,19,94735.63,7,35,2,2026-05-02 17:39:01
Compton Unified,Senior,73,27.1,31,93754.21,13,57,4,2026-05-02 17:39:01
Ontario-Montclair,Mid-Senior,56,14.8,18.4,94615.55,10,40,4,2026-05-02 17:39:01
Ontario-Montclair,Senior,86,27.4,31,88602.6,13,69,3,2026-05-02 17:39:01
San Francisco Unified,Mid-Senior,150,14.8,17.5,76428.39,31,107,3,2026-05-02 17:39:01
San Francisco Unified,Senior,252,27.5,30.3,80076.06,58,173,3,2026-05-02 17:39:01
